swing_id,course,round_date,hole,round_total,shot_number,distance_to_pin,terrain,fairway_hit,green_in_reg,penalty,club_used,club_speed,total_distance,carry_distance,ball_speed,apex_ht,back_spin,side_spin,launch_dir,launch_angle,smash_factor,spin_axis,flight_time,face_angle,swing_path,face_to_path_angle,AoA,Dynamic_Loft,Spin_Loft,Curve_Amount,Air_Carry_Efficiency,Offline_estimated,,,,,,,,,,,,,
12211,Avaira_GC,1/9/2025,1,1,1,404,Tee,Yes,,,Driver,116.23,268.4,256.9,160.24,124,3730 ,1096 ,(1.2),15.2 ,1.379,16.0,7.3,-3.3,5.4,2.1,-1.74,9.3,11.09,29.38%,95.7%,102.8 ,,,,,,,,,,,,,
122112,Avaira_GC,1/9/2025,1,2,2,96,Fairway,,,,Gap Wedge,84.59,87.3,88.2,78.80,66,9941 ,3540 ,(0.3),29.2 ,0.932,20.0,4.6,-11.9,9.1,-2.8,-1.39,12.4,13.83,35.61%,101.1%,44.1 ,,,,,,,,,,,,,
122143,Avaira_GC,1/9/2025,1,3,3,15,Green,,Yes,,Putter,7.02,11.9,,12.03,,0 ,0 ,2.3 ,,1.714,,,,, ,, , , , , ,,,,,,,,,,,,,
12214,Avaira_GC,1/9/2025,2,4,1,399,Tee,Yes,,,Driver,112.97,250.5,235.8,150.97,67,2831 ,284 ,(0.8),11.7 ,1.336,6.0,5.7,-2.0,6.3,4.3,-1.41,7.8,9.19,10.03%,94.1%,35.4 ,,,,,,,,,,,,,
12295,Avaira_GC,1/9/2025,2,5,2,148,Fairway,,,,9 Iron,96.78,142.8,143.5,112.42,89,9815 ,1498 ,(0.1),19.3 ,1.162,9.0,5.9,-1.3,3.5,2.2,-4.02,14.8,18.82,15.26%,100.5%,32.3 ,,,,,,,,,,,,,
122146,Avaira_GC,1/9/2025,2,6,3,13,Green,,Yes,,Putter,4.91,10.3,,8.84,,0 ,0 ,(0.3),0.0 ,1.800,,,,, ,, , , , , ,,,,,,,,,,,,,
122107,Avaira_GC,1/9/2025,3,7,1,135,Tee,,,,Pitching Wedge,90.84,130.9,130.0,104.96,123,10849 ,2789 ,(2.1),27.3 ,1.155,14.0,6.4,-5.3,7.3,2.0,-2.16,17.4,19.58,25.71%,99.3%,45.5 ,,,,,,,,,,,,,
12288,Avaira_GC,1/9/2025,3,8,2,22,Earth,,No,,8 Iron,84.03,101.9,102.7,87.54,58,8607 ,1574 ,1.3 ,22.8 ,1.042,10.0,4.6,-0.5,6.5,6.0,-3.26,18.5,21.75,18.29%,100.8%,25.7 ,,,,,,,,,,,,,
122149,Avaira_GC,1/9/2025,3,9,3,20,Green,,,,Putter,25.08,20.7,,14.77,,0 ,0 ,(2.2),0.0 ,0.589,,,,, ,, , , , , ,,,,,,,,,,,,,
122110,Avaira_GC,1/9/2025,4,10,1,352,Tee,Yes,,,Driver,106.02,265.8,253.7,156.92,91,3052 ,487 ,2.9 ,13.5 ,1.480,9.0,6.4,2.2,6.8,9.0,-2.94,13.5,16.39,15.96%,95.5%,57.1 ,,,,,,,,,,,,,
1221211,Avaira_GC,1/9/2025,4,11,2,92,Fairway,,,,Sand Wedge,83.05,85.8,83.6,76.45,50,10825 ,(65),(3.7),26.1 ,0.921,,,,,,,6.1,7.27,-0.60%,97.5%, ,,,,,,,,,,,,,
1221312,Avaira_GC,1/9/2025,4,12,3,8,Fairway,,No,,Lob Wedge,22.10,7.6,5.2,15.82,3,3033 ,(62),(0.7),35.1 ,0.716,0.0,4.2,-15.7,6.1,-9.6,-1.20,29.4,5.95,-2.04%,68.8%,(0.1),,,,,,,,,,,,,
122113,Avaira_GC,1/9/2025,5,13,1,512,Tee,Yes,,,Driver,112.91,219.4,214.3,146.78,104,4588 ,1346 ,(2.6),16.5 ,1.300,-1.0,0.9,0.1,-1.4,-1.3,23.41,9.6,11.12,29.34%,97.7%,85.7 ,,,,,,,,,,,,,
122314,Avaira_GC,1/9/2025,5,14,2,284,Fairway,,,,Hybrid,107.90,232.1,219.0,154.68,49,3582 ,(897),4.0 ,9.8 ,1.434,16.0,6.6,-4.2,6.6,2.4,-1.53,12.1,31.64,-25.04%,94.4%,(76.6),,,,,,,,,,,,,
1221215,Avaira_GC,1/9/2025,5,15,3,58,Deep Grass,,,,Sand Wedge,86.73,55.5,,86.84,,9526 ,2980 ,(2.9),21.5 ,1.001,-14.0,5.1,3.9,4.4,8.3,-19.58,12.0,13.76,31.28%, , ,,,,,,,,,,,,,
1221416,Avaira_GC,1/9/2025,5,16,4,12,Green,,Yes,,Putter,5.76,10.4,,10.56,,0 ,0 ,(1.0),0.0 ,1.833,17.0,,-5.9,6.3,0.4,-1.76, , , , , ,,,,,,,,,,,,,
122717,Avaira_GC,1/9/2025,6,17,1,185,Tee,,,,7 Iron,99.68,160.0,155.4,124.16,71,6768 ,2832 ,(0.7),15.6 ,1.246,,,,, ,,9.0,10.20,41.84%,97.1%,89.3 ,,,,,,,,,,,,,
1221218,Avaira_GC,1/9/2025,6,18,2,29,Rough,,No,,Sand Wedge,71.58,23.5,21.3,35.25,17,4319 ,1896 ,(9.5),44.9 ,0.492,23.0,5.2,-4.0,9.3,5.3,-1.17,-6.6,-5.93,43.90%,90.9%,12.8 ,,,,,,,,,,,,,
1221219,Avaira_GC,1/9/2025,6,19,3,8,Rough,,,,Sand Wedge,13.77,9.4,4.1,14.21,3,1453 ,39 ,5.1 ,34.9 ,1.032,24.0,2.3,-44.1,18.7,-25.4,-0.72,33.7,72.44,2.68%,43.2%,0.2 ,,,,,,,,,,,,,
122120,Avaira_GC,1/9/2025,7,20,1,407,Tee,No,,,Driver,119.52,252.8,247.3,160.51,158,4497 ,2060 ,(1.7),15.5 ,1.343,2.0,0.8,4.6,5.5,10.1,-38.76,9.8,11.53,45.81%,97.8%,154.6 ,,,,,,,,,,,,,
122721,Avaira_GC,1/9/2025,7,21,2,154,Deep Grass,,,,7 Iron,99.76,137.1,134.3,125.50,65,5188 ,392 ,4.9 ,16.5 ,1.258,25.0,7.8,-3.1,5.9,2.8,-1.72,18.2,26.40,7.56%,97.9%,13.4 ,,,,,,,,,,,,,
1221222,Avaira_GC,1/9/2025,7,22,3,19,Bunker,,No,,Sand Wedge,51.20,12.5,2.0,46.43,4,6673 ,2481 ,2.0 ,26.3 ,0.907,4.0,5.1,4.4,6.4,10.8,-8.25,13.1,14.45,37.18%,16.2%,1.0 ,,,,,,,,,,,,,
1221423,Avaira_GC,1/9/2025,7,23,4,7,Green,,,,Putter,4.17,6.3,,7.66,,0 ,0 ,0.4 ,0.0 ,1.837,20.0,0.2,-8.8,10.9,2.1,-1.33, , , , , ,,,,,,,,,,,,,
122124,Avaira_GC,1/9/2025,8,24,1,515,Tee,No,,,Driver,114.53,247.1,243.6,154.27,120,3973 ,1782 ,(4.7),12.5 ,1.347,,,,, ,,3.9,4.99,44.85%,98.6%,146.2 ,,,,,,,,,,,,,
122625,Avaira_GC,1/9/2025,8,25,2,275,Deep Grass,,,,6 Iron,99.67,53.9,,118.65,,6922 ,3248 ,(5.8),16.1 ,1.190,24.0,6.9,-6.5,5.0,-1.5,-1.09,3.4,4.36,46.92%, , ,,,,,,,,,,,,,
122326,Avaira_GC,1/9/2025,8,26,3,223,Deep Grass,,,,Hybrid,92.33,102.2,,123.87,,6166 ,2618 ,(4.5),16.7 ,1.342,25.0,,-10.0,7.0,-3.0,-0.95,5.9,7.00,42.46%, , ,,,,,,,,,,,,,
1221027,Avaira_GC,1/9/2025,8,27,4,126,Rough,,No,,Pitching Wedge,92.25,125.3,123.3,104.54,107,10839 ,3381 ,(2.6),24.9 ,1.133,23.0,,-8.1,6.5,-1.6,-1.15,14.6,16.29,31.19%,98.4%,52.4 ,,,,,,,,,,,,,
1221228,Avaira_GC,1/9/2025,8,28,5,22,Deep Grass,,,,Sand Wedge,68.82,34.3,,73.14,,7889 ,2072 ,4.8 ,25.4 ,1.063,17.0,5.8,-6.2,8.2,2.0,-1.73,19.4,21.54,26.26%, , ,,,,,,,,,,,,,
1221429,Avaira_GC,1/9/2025,8,29,6,14,Green,,,,Putter,8.39,17.8,,14.11,,0 ,0 ,1.0 ,0.0 ,1.682,15.0,,-1.8,10.1,8.3,-2.14, , , , , ,,,,,,,,,,,,,
1221430,Avaira_GC,1/9/2025,8,30,7,6,Green,,,,Putter,4.15,3.9,,7.45,,0 ,0 ,0.0 ,0.0 ,1.795,,,,, ,, , , , , ,,,,,,,,,,,,,
122131,Avaira_GC,1/9/2025,9,31,1,334,Tee,No,,Out of Bounds,Driver,107.63,278.7,248.8,162.22,105,3720 ,1896 ,1.4 ,10.5 ,1.507,,,,, ,,9.3,11.14,50.97%,89.3%,167.9 ,,,,,,,,,,,,,
122132,Avaira_GC,1/9/2025,9,32,2,334,Tee,No,,,Driver,106.27,270.8,263.1,151.48,132,3447 ,933 ,(5.8),13.9 ,1.425,27.0,6.5,0.5,6.2,6.7,-1.85,4.0,5.07,27.07%,97.1%,98.6 ,,,,,,,,,,,,,
1221133,Avaira_GC,1/9/2025,9,33,3,109,Rough,,No,,Gap Wedge,92.13,122.9,119.2,95.55,95,10725 ,1602 ,1.8 ,23.4 ,1.037,15.0,7.4,-7.6,4.9,-2.7,-1.11,19.8,23.84,14.94%,96.9%,23.8 ,,,,,,,,,,,,,
1221234,Avaira_GC,1/9/2025,9,34,4,16,Bunker,,,,Sand Wedge,65.65,24.6,19.9,55.67,8,6539 ,1942 ,0.9 ,32.9 ,0.848,8.0,5.6,0.3,6.1,6.4,-4.04,17.9,19.63,29.70%,80.9%,8.5 ,,,,,,,,,,,,,
1221435,Avaira_GC,1/9/2025,9,35,5,10,Green,,,,Putter,6.64,12.7,,12.32,,0 ,0 ,1.2 ,0.0 ,1.855,17.0,1.7,-9.5,9.5, ,-1.73, , , , , ,,,,,,,,,,,,,
